relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
82.0,13.2,3.3,0,-0.1709902440968722,1.8141462351182855
80.0,14.4,3.6,0,0.03437263835564497,2.035150960512499
83.0,9.7,2.9,1,-0.4838409208824209,1.1548225112501267
75.0,14.0,4.0,0,0.2966987696697465,1.947655700386104
75.0,17.5,4.3,0,0.5502096055216847,2.610130510519453
79.0,18.2,4.0,0,0.3668396128529401,2.7528123353022362
77.0,17.1,4.0,0,0.3971568503004841,2.54469285424944
75.0,18.1,4.1,0,0.5730061814685383,2.7388932238860106
74.0,15.9,3.8,0,0.455621133562782,2.3321075205760113
72.0,14.5,4.2,0,0.4991941122518453,2.041475565554842
69.0,13.7,5.4,0,0.6988655954662155,1.8220618857797493
63.0,11.0,6.5,0,0.9194480103538009,1.2478979810858426
63.0,9.9,7.4,0,0.9214836730555849,0.9795999091847641
61.0,10.0,7.9,0,1.0713561500416742,0.9746125030098002
63.0,14.6,7.7,0,1.2534596997544913,1.875425323004435
70.0,11.5,7.0,0,0.6353790701978538,1.294660534004489
72.0,10.8,6.6,0,0.45449200752659535,1.1769289325745935
76.0,9.6,5.9,0,0.11401342373022194,0.974313791234157
85.0,7.2,4.0,1,-0.6591556237494011,0.5964094178652759
87.0,6.4,2.8,1,-0.9123255302310969,0.5075815788884374
89.0,7.1,2.0,1,-1.0345419092008201,0.6862671714727104
91.0,7.2,1.3,1,-1.1877728738557125,0.7422337564521241
94.0,6.1,1.1,1,-1.4295008118612957,0.5317385894402246
97.0,5.8,0.6,1,-1.6435726518505125,0.49494160883763494
100.0,5.4,0.4,1,-1.8395292285286966,0.4205676273094241
99.0,5.8,0.8,1,-1.7293802947644794,0.4770689583212394
94.0,6.1,0.6,1,-1.4705908605528728,0.5619571182487147
93.0,5.2,0.8,1,-1.4618819030161687,0.3777493734570761
92.0,4.3,1.5,1,-1.4120828967878887,0.16332309985694737
82.0,8.3,2.7,1,-0.5406978318185491,0.8975601713026454
78.0,7.7,3.1,1,-0.3425710635075751,0.7682805243986908
80.0,4.8,3.1,1,-0.6344389371116812,0.19856465983041036
77.0,7.6,3.9,1,-0.23224392030966667,0.7033776141610791
76.0,11.4,4.6,0,0.12487708340257452,1.4029078716657162
75.0,11.2,5.6,0,0.2451014801731996,1.3064716662641818
76.0,16.6,6.5,0,0.6210350954340982,2.2992634115008546
74.0,16.1,7.4,0,0.7645470159499654,2.1534258804359374
75.0,11.7,7.2,0,0.4092834655058167,1.3070017922796482
81.0,14.8,8.0,0,0.3709982992618806,1.8441188220634004
84.0,17.8,7.7,0,0.38914175357845837,2.436948590074804
84.0,15.3,7.6,0,0.2174545962422915,1.9568452048233285
85.0,18.3,7.6,0,0.36249574216441394,2.5373290945426366
84.0,16.3,7.7,0,0.2910602650197477,2.1452603354669
85.0,9.4,7.1,1,-0.2605444719755139,0.8368639793442301
86.0,5.7,6.4,1,-0.6111267097838411,0.15677960548011993
87.0,5.1,6.1,1,-0.7261351656175707,0.05534280142555263
